Alloc. source dept. CD,Alloc. source dept. name,Alloc. A/C CD,Alloc. A/C name,Alloc. rate CD,Alloc. rate name,Transfer alloc. A/C CD,Transfer alloc. A/C name
CPPMMT,Material Common,8320101,[M]Fire Insurance,FC004,Personnel ratio(MAT),8320101WS,[M]Fire Insurance
CPPMPE,PE Common,8320101,[M]Fire Insurance,FC002,Production ratio,8320101TE,[M]Fire Insurance
CPPMPL,Planning,8320101,[M]Fire Insurance,FC002,Production ratio,8320101PL,[M]Fire Insurance
CPQA00,Quality assurance,8320101,[M]Fire Insurance,FC002,Production ratio,8320101OT,[M]Fire Insurance
CPSE00,Safety & Environment,8320101,[M]Fire Insurance,FC001,Personnel ratio,8320101OT,[M]Fire Insurance
CPSLWS,Sunline WS,8320101,[M]Fire Insurance,FC011,Prodution r(SL),8320101WS,[M]Fire Insurance
CPSYWS,Synchro WS,8320101,[M]Fire Insurance,FC012,Prodution r(SYN),8320101WS,[M]Fire Insurance
CPTOLB,Tooling label,8320101,[M]Fire Insurance,FC003,Production ratio(PR),8320101TE,[M]Fire Insurance
CPTOMD,Tooling mold,8320101,[M]Fire Insurance,FC003,Production ratio(PR),8320101TE,[M]Fire Insurance
CPTOWS,Tooling WS,8320101,[M]Fire Insurance,FC003,Production ratio(PR),8320101TE,[M]Fire Insurance
CPWPWS,WP WS,8320101,[M]Fire Insurance,FC010,Prodution r(WP),8320101WS,[M]Fire Insurance
CPABWS,Auto WS,8330001,[M]Other Tax and duty,FC009,"Prodution r(RA,RE)",8330001WS,[M]Other Tax and duty
CPATWS,AT WS,8330001,[M]Other Tax and duty,FC007,Prodution ratio(AT),8330001WS,[M]Other Tax and duty
CPBMGA,General affair,8330001,[M]Other Tax and duty,FC001,Personnel ratio,8330001OT,[M]Other Tax and duty
CPBR07,Wiper laboratory,8330001,[M]Other Tax and duty,FC008,Prodution r(WIPER),8330001WS,[M]Other Tax and duty
CPBRPK,Wiper Packing,8330001,[M]Other Tax and duty,FC008,Prodution r(WIPER),8330001WS,[M]Other Tax and duty
CPBRWS,Wiper WS,8330001,[M]Other Tax and duty,FC008,Prodution r(WIPER),8330001WS,[M]Other Tax and duty
CPFC00,Factory Common,8330001,[M]Other Tax and duty,FC001,Personnel ratio,8330001OT,[M]Other Tax and duty
CPFC01,Factory1,8330001,[M]Other Tax and duty,FC013,Personnel r(WP),8330001OT,[M]Other Tax and duty
CPFC02,Factory2,8330001,[M]Other Tax and duty,FC014,"Personnel r(RA,RE)",8330001OT,[M]Other Tax and duty
CPFC03,Factory3,8330001,[M]Other Tax and duty,FC015,Personnel r(MAT),8330001OT,[M]Other Tax and duty
CPFC04,Factory4,8330001,[M]Other Tax and duty,FC016,"Personnel r(SL,GD)",8330001OT,[M]Other Tax and duty
CPFC05,Factory5,8330001,[M]Other Tax and duty,FC008,Prodution r(WIPER),8330001OT,[M]Other Tax and duty
CPFC06,Factory6,8330001,[M]Other Tax and duty,FC017,Prodution r(RAREWP),8330001OT,[M]Other Tax and duty
CPFC07,Factory7,8330001,[M]Other Tax and duty,FC018,"Personnel r(AT,SYN)",8330001OT,[M]Other Tax and duty
CPFCTH,Tent House,8330001,[M]Other Tax and duty,FC015,Personnel r(MAT),8330001OT,[M]Other Tax and duty
CPKZ00,KAIZEN,8330001,[M]Other Tax and duty,FC002,Production ratio,8330001OT,[M]Other Tax and duty
CPMG00,Management Cost,8330001,[M]Other Tax and duty,FC001,Personnel ratio,8330001OT,[M]Other Tax and duty
CPMTBB,BANBURY,8330001,[M]Other Tax and duty,FC005,Personnel r(BANBURY),8330001WS,[M]Other Tax and duty
CPMTGD,GD Common,8330001,[M]Other Tax and duty,FC006,Personnel ratio(GD),8330001WS,[M]Other Tax and duty
CPMTWS,Material WS,8330001,[M]Other Tax and duty,FC004,Personnel ratio(MAT),8330001WS,[M]Other Tax and duty
CPPEMN,Maintenance,8330001,[M]Other Tax and duty,FC002,Production ratio,8330001TE,[M]Other Tax and duty
CPPEPE,PE,8330001,[M]Other Tax and duty,FC002,Production ratio,8330001TE,[M]Other Tax and duty
CPPM00,Pro. Management,8330001,[M]Other Tax and duty,FC002,Production ratio,8330001OT,[M]Other Tax and duty
CPPMAB,Auto Belt Common,8330001,[M]Other Tax and duty,FC009,"Prodution r(RA,RE)",8330001WS,[M]Other Tax and duty
CPPMLG,Logistics,8330001,[M]Other Tax and duty,FC017,Prodution r(RAREWP),8330001OT,[M]Other Tax and duty
CPPMMT,Material Common,8330001,[M]Other Tax and duty,FC004,Personnel ratio(MAT),8330001WS,[M]Other Tax and duty
CPPMPE,PE Common,8330001,[M]Other Tax and duty,FC002,Production ratio,8330001TE,[M]Other Tax and duty
CPPMPL,Planning,8330001,[M]Other Tax and duty,FC002,Production ratio,8330001PL,[M]Other Tax and duty
CPQA00,Quality assurance,8330001,[M]Other Tax and duty,FC002,Production ratio,8330001OT,[M]Other Tax and duty
CPSE00,Safety & Environment,8330001,[M]Other Tax and duty,FC001,Personnel ratio,8330001OT,[M]Other Tax and duty
CPSLWS,Sunline WS,8330001,[M]Other Tax and duty,FC011,Prodution r(SL),8330001WS,[M]Other Tax and duty
CPSYWS,Synchro WS,8330001,[M]Other Tax and duty,FC012,Prodution r(SYN),8330001WS,[M]Other Tax and duty
CPTOLB,Tooling label,8330001,[M]Other Tax and duty,FC003,Production ratio(PR),8330001TE,[M]Other Tax and duty
CPTOMD,Tooling mold,8330001,[M]Other Tax and duty,FC003,Production ratio(PR),8330001TE,[M]Other Tax and duty
CPTOWS,Tooling WS,8330001,[M]Other Tax and duty,FC003,Production ratio(PR),8330001TE,[M]Other Tax and duty
CPWPWS,WP WS,8330001,[M]Other Tax and duty,FC010,Prodution r(WP),8330001WS,[M]Other Tax and duty
CPABWS,Auto WS,8331001,[M]Tax add back expense,FC009,"Prodution r(RA,RE)",8331001WS,[M]Tax add back expense
CPATWS,AT WS,8331001,[M]Tax add back expense,FC007,Prodution ratio(AT),8331001WS,[M]Tax add back expense
CPBMGA,General affair,8331001,[M]Tax add back expense,FC001,Personnel ratio,8331001OT,[M]Tax add back expense
CPBR07,Wiper laboratory,8331001,[M]Tax add back expense,FC008,Prodution r(WIPER),8331001WS,[M]Tax add back expense
CPBRPK,Wiper Packing,8331001,[M]Tax add back expense,FC008,Prodution r(WIPER),8331001WS,[M]Tax add back expense
CPBRWS,Wiper WS,8331001,[M]Tax add back expense,FC008,Prodution r(WIPER),8331001WS,[M]Tax add back expense
CPFC00,Factory Common,8331001,[M]Tax add back expense,FC001,Personnel ratio,8331001OT,[M]Tax add back expense
CPFC01,Factory1,8331001,[M]Tax add back expense,FC013,Personnel r(WP),8331001OT,[M]Tax add back expense
CPFC02,Factory2,8331001,[M]Tax add back expense,FC014,"Personnel r(RA,RE)",8331001OT,[M]Tax add back expense
CPFC03,Factory3,8331001,[M]Tax add back expense,FC015,Personnel r(MAT),8331001OT,[M]Tax add back expense
CPFC04,Factory4,8331001,[M]Tax add back expense,FC016,"Personnel r(SL,GD)",8331001OT,[M]Tax add back expense
CPFC05,Factory5,8331001,[M]Tax add back expense,FC008,Prodution r(WIPER),8331001OT,[M]Tax add back expense
CPFC06,Factory6,8331001,[M]Tax add back expense,FC017,Prodution r(RAREWP),8331001OT,[M]Tax add back expense
CPFC07,Factory7,8331001,[M]Tax add back expense,FC018,"Personnel r(AT,SYN)",8331001OT,[M]Tax add back expense
CPFCTH,Tent House,8331001,[M]Tax add back expense,FC015,Personnel r(MAT),8331001OT,[M]Tax add back expense
CPKZ00,KAIZEN,8331001,[M]Tax add back expense,FC002,Production ratio,8331001OT,[M]Tax add back expense
CPMG00,Management Cost,8331001,[M]Tax add back expense,FC001,Personnel ratio,8331001OT,[M]Tax add back expense
CPMTBB,BANBURY,8331001,[M]Tax add back expense,FC005,Personnel r(BANBURY),8331001WS,[M]Tax add back expense
CPMTGD,GD Common,8331001,[M]Tax add back expense,FC006,Personnel ratio(GD),8331001WS,[M]Tax add back expense
CPMTWS,Material WS,8331001,[M]Tax add back expense,FC004,Personnel ratio(MAT),8331001WS,[M]Tax add back expense
CPPEMN,Maintenance,8331001,[M]Tax add back expense,FC002,Production ratio,8331001TE,[M]Tax add back expense
CPPEPE,PE,8331001,[M]Tax add back expense,FC002,Production ratio,8331001TE,[M]Tax add back expense
CPPM00,Pro. Management,8331001,[M]Tax add back expense,FC002,Production ratio,8331001OT,[M]Tax add back expense
CPPMAB,Auto Belt Common,8331001,[M]Tax add back expense,FC009,"Prodution r(RA,RE)",8331001WS,[M]Tax add back expense
CPPMLG,Logistics,8331001,[M]Tax add back expense,FC017,Prodution r(RAREWP),8331001OT,[M]Tax add back expense
CPPMMT,Material Common,8331001,[M]Tax add back expense,FC004,Personnel ratio(MAT),8331001WS,[M]Tax add back expense
CPPMPE,PE Common,8331001,[M]Tax add back expense,FC002,Production ratio,8331001TE,[M]Tax add back expense
CPPMPL,Planning,8331001,[M]Tax add back expense,FC002,Production ratio,8331001PL,[M]Tax add back expense
CPQA00,Quality assurance,8331001,[M]Tax add back expense,FC002,Production ratio,8331001OT,[M]Tax add back expense
CPSE00,Safety & Environment,8331001,[M]Tax add back expense,FC001,Personnel ratio,8331001OT,[M]Tax add back expense
CPSLWS,Sunline WS,8331001,[M]Tax add back expense,FC011,Prodution r(SL),8331001WS,[M]Tax add back expense
CPSYWS,Synchro WS,8331001,[M]Tax add back expense,FC012,Prodution r(SYN),8331001WS,[M]Tax add back expense
CPTOLB,Tooling label,8331001,[M]Tax add back expense,FC003,Production ratio(PR),8331001TE,[M]Tax add back expense
CPTOMD,Tooling mold,8331001,[M]Tax add back expense,FC003,Production ratio(PR),8331001TE,[M]Tax add back expense
CPTOWS,Tooling WS,8331001,[M]Tax add back expense,FC003,Production ratio(PR),8331001TE,[M]Tax add back expense
CPWPWS,WP WS,8331001,[M]Tax add back expense,FC010,Prodution r(WP),8331001WS,[M]Tax add back expense
CPABWS,Auto WS,8340001,[M]Depreciation,FC009,"Prodution r(RA,RE)",8340001WS,[M]Depreciation
CPATWS,AT WS,8340001,[M]Depreciation,FC007,Prodution ratio(AT),8340001WS,[M]Depreciation
CPBMGA,General affair,8340001,[M]Depreciation,FC001,Personnel ratio,8340001OT,[M]Depreciation
CPBR03,Wiper Mold,8340001,[M]Depreciation,FC008,Prodution r(WIPER),8340001WS,[M]Depreciation
CPBR07,Wiper laboratory,8340001,[M]Depreciation,FC008,Prodution r(WIPER),8340001WS,[M]Depreciation
CPBRMN,Wiper Maintenance,8340001,[M]Depreciation,FC008,Prodution r(WIPER),8340001WS,[M]Depreciation
CPBRPK,Wiper Packing,8340001,[M]Depreciation,FC008,Prodution r(WIPER),8340001WS,[M]Depreciation
CPBRWS,Wiper WS,8340001,[M]Depreciation,FC008,Prodution r(WIPER),8340001WS,[M]Depreciation
CPFC00,Factory Common,8340001,[M]Depreciation,FC001,Personnel ratio,8340001OT,[M]Depreciation
CPFC01,Factory1,8340001,[M]Depreciation,FC013,Personnel r(WP),8340001OT,[M]Depreciation
CPFC02,Factory2,8340001,[M]Depreciation,FC014,"Personnel r(RA,RE)",8340001OT,[M]Depreciation
CPFC03,Factory3,8340001,[M]Depreciation,FC015,Personnel r(MAT),8340001OT,[M]Depreciation
CPFC04,Factory4,8340001,[M]Depreciation,FC016,"Personnel r(SL,GD)",8340001OT,[M]Depreciation
CPFC05,Factory5,8340001,[M]Depreciation,FC008,Prodution r(WIPER),8340001OT,[M]Depreciation
CPFC06,Factory6,8340001,[M]Depreciation,FC017,Prodution r(RAREWP),8340001OT,[M]Depreciation
CPFC07,Factory7,8340001,[M]Depreciation,FC018,"Personnel r(AT,SYN)",8340001OT,[M]Depreciation
CPFCTH,Tent House,8340001,[M]Depreciation,FC015,Personnel r(MAT),8340001OT,[M]Depreciation
CPKZ00,KAIZEN,8340001,[M]Depreciation,FC002,Production ratio,8340001OT,[M]Depreciation
CPMG00,Management Cost,8340001,[M]Depreciation,FC001,Personnel ratio,8340001OT,[M]Depreciation
CPMTBB,BANBURY,8340001,[M]Depreciation,FC005,Personnel r(BANBURY),8340001WS,[M]Depreciation
CPMTGD,GD Common,8340001,[M]Depreciation,FC006,Personnel ratio(GD),8340001WS,[M]Depreciation
CPMTWS,Material WS,8340001,[M]Depreciation,FC004,Personnel ratio(MAT),8340001WS,[M]Depreciation
CPPEMN,Maintenance,8340001,[M]Depreciation,FC002,Production ratio,8340001TE,[M]Depreciation
CPPEPE,PE,8340001,[M]Depreciation,FC002,Production ratio,8340001TE,[M]Depreciation
CPPM00,Pro. Management,8340001,[M]Depreciation,FC002,Production ratio,8340001OT,[M]Depreciation
CPPMAB,Auto Belt Common,8340001,[M]Depreciation,FC009,"Prodution r(RA,RE)",8340001WS,[M]Depreciation
CPPMLG,Logistics,8340001,[M]Depreciation,FC017,Prodution r(RAREWP),8340001OT,[M]Depreciation
CPPMMT,Material Common,8340001,[M]Depreciation,FC004,Personnel ratio(MAT),8340001WS,[M]Depreciation
CPPMPE,PE Common,8340001,[M]Depreciation,FC002,Production ratio,8340001TE,[M]Depreciation
CPPMPL,Planning,8340001,[M]Depreciation,FC002,Production ratio,8340001PL,[M]Depreciation
CPQA00,Quality assurance,8340001,[M]Depreciation,FC002,Production ratio,8340001OT,[M]Depreciation
CPSE00,Safety & Environment,8340001,[M]Depreciation,FC001,Personnel ratio,8340001OT,[M]Depreciation
CPSLWS,Sunline WS,8340001,[M]Depreciation,FC011,Prodution r(SL),8340001WS,[M]Depreciation
CPSYWS,Synchro WS,8340001,[M]Depreciation,FC012,Prodution r(SYN),8340001WS,[M]Depreciation
CPTOLB,Tooling label,8340001,[M]Depreciation,FC003,Production ratio(PR),8340001TE,[M]Depreciation
CPTOMD,Tooling mold,8340001,[M]Depreciation,FC003,Production ratio(PR),8340001TE,[M]Depreciation
CPTOWS,Tooling WS,8340001,[M]Depreciation,FC003,Production ratio(PR),8340001TE,[M]Depreciation
CPWPWS,WP WS,8340001,[M]Depreciation,FC010,Prodution r(WP),8340001WS,[M]Depreciation
CPABWS,Auto WS,8341001,[M]Depreciation - asset retirement oblig,FC009,"Prodution r(RA,RE)",8341001WS,[M]Depreciation - asset retirement oblig
CPATWS,AT WS,8341001,[M]Depreciation - asset retirement oblig,FC007,Prodution ratio(AT),8341001WS,[M]Depreciation - asset retirement oblig
CPBMGA,General affair,8341001,[M]Depreciation - asset retirement oblig,FC001,Personnel ratio,8341001OT,[M]Depreciation - asset retirement oblig
CPBR07,Wiper laboratory,8341001,[M]Depreciation - asset retirement oblig,FC008,Prodution r(WIPER),8341001WS,[M]Depreciation - asset retirement oblig
CPBRPK,Wiper Packing,8341001,[M]Depreciation - asset retirement oblig,FC008,Prodution r(WIPER),8341001WS,[M]Depreciation - asset retirement oblig
CPBRWS,Wiper WS,8341001,[M]Depreciation - asset retirement oblig,FC008,Prodution r(WIPER),8341001WS,[M]Depreciation - asset retirement oblig
CPFC00,Factory Common,8341001,[M]Depreciation - asset retirement oblig,FC001,Personnel ratio,8341001OT,[M]Depreciation - asset retirement oblig
CPFC01,Factory1,8341001,[M]Depreciation - asset retirement oblig,FC013,Personnel r(WP),8341001OT,[M]Depreciation - asset retirement oblig
CPFC02,Factory2,8341001,[M]Depreciation - asset retirement oblig,FC014,"Personnel r(RA,RE)",8341001OT,[M]Depreciation - asset retirement oblig
CPFC03,Factory3,8341001,[M]Depreciation - asset retirement oblig,FC015,Personnel r(MAT),8341001OT,[M]Depreciation - asset retirement oblig
CPFC04,Factory4,8341001,[M]Depreciation - asset retirement oblig,FC016,"Personnel r(SL,GD)",8341001OT,[M]Depreciation - asset retirement oblig
CPFC05,Factory5,8341001,[M]Depreciation - asset retirement oblig,FC008,Prodution r(WIPER),8341001OT,[M]Depreciation - asset retirement oblig
CPFC06,Factory6,8341001,[M]Depreciation - asset retirement oblig,FC017,Prodution r(RAREWP),8341001OT,[M]Depreciation - asset retirement oblig
CPFC07,Factory7,8341001,[M]Depreciation - asset retirement oblig,FC018,"Personnel r(AT,SYN)",8341001OT,[M]Depreciation - asset retirement oblig
CPFCTH,Tent House,8341001,[M]Depreciation - asset retirement oblig,FC015,Personnel r(MAT),8341001OT,[M]Depreciation - asset retirement oblig
CPKZ00,KAIZEN,8341001,[M]Depreciation - asset retirement oblig,FC002,Production ratio,8341001OT,[M]Depreciation - asset retirement oblig
CPMG00,Management Cost,8341001,[M]Depreciation - asset retirement oblig,FC001,Personnel ratio,8341001OT,[M]Depreciation - asset retirement oblig
CPMTBB,BANBURY,8341001,[M]Depreciation - asset retirement oblig,FC005,Personnel r(BANBURY),8341001WS,[M]Depreciation - asset retirement oblig
CPMTGD,GD Common,8341001,[M]Depreciation - asset retirement oblig,FC006,Personnel ratio(GD),8341001WS,[M]Depreciation - asset retirement oblig
CPMTWS,Material WS,8341001,[M]Depreciation - asset retirement oblig,FC004,Personnel ratio(MAT),8341001WS,[M]Depreciation - asset retirement oblig
CPPEMN,Maintenance,8341001,[M]Depreciation - asset retirement oblig,FC002,Production ratio,8341001TE,[M]Depreciation - asset retirement oblig
CPPEPE,PE,8341001,[M]Depreciation - asset retirement oblig,FC002,Production ratio,8341001TE,[M]Depreciation - asset retirement oblig
CPPM00,Pro. Management,8341001,[M]Depreciation - asset retirement oblig,FC002,Production ratio,8341001OT,[M]Depreciation - asset retirement oblig
CPPMAB,Auto Belt Common,8341001,[M]Depreciation - asset retirement oblig,FC009,"Prodution r(RA,RE)",8341001WS,[M]Depreciation - asset retirement oblig
CPPMLG,Logistics,8341001,[M]Depreciation - asset retirement oblig,FC017,Prodution r(RAREWP),8341001OT,[M]Depreciation - asset retirement oblig
CPPMMT,Material Common,8341001,[M]Depreciation - asset retirement oblig,FC004,Personnel ratio(MAT),8341001WS,[M]Depreciation - asset retirement oblig
CPPMPE,PE Common,8341001,[M]Depreciation - asset retirement oblig,FC002,Production ratio,8341001TE,[M]Depreciation - asset retirement oblig
CPPMPL,Planning,8341001,[M]Depreciation - asset retirement oblig,FC002,Production ratio,8341001PL,[M]Depreciation - asset retirement oblig
CPQA00,Quality assurance,8341001,[M]Depreciation - asset retirement oblig,FC002,Production ratio,8341001OT,[M]Depreciation - asset retirement oblig
CPSE00,Safety & Environment,8341001,[M]Depreciation - asset retirement oblig,FC001,Personnel ratio,8341001OT,[M]Depreciation - asset retirement oblig
CPSLWS,Sunline WS,8341001,[M]Depreciation - asset retirement oblig,FC011,Prodution r(SL),8341001WS,[M]Depreciation - asset retirement oblig
CPSYWS,Synchro WS,8341001,[M]Depreciation - asset retirement oblig,FC012,Prodution r(SYN),8341001WS,[M]Depreciation - asset retirement oblig
CPTOLB,Tooling label,8341001,[M]Depreciation - asset retirement oblig,FC003,Production ratio(PR),8341001TE,[M]Depreciation - asset retirement oblig
CPTOMD,Tooling mold,8341001,[M]Depreciation - asset retirement oblig,FC003,Production ratio(PR),8341001TE,[M]Depreciation - asset retirement oblig
CPTOWS,Tooling WS,8341001,[M]Depreciation - asset retirement oblig,FC003,Production ratio(PR),8341001TE,[M]Depreciation - asset retirement oblig
CPWPWS,WP WS,8341001,[M]Depreciation - asset retirement oblig,FC010,Prodution r(WP),8341001WS,[M]Depreciation - asset retirement oblig
CPABWS,Auto WS,8342001,[M]Depreciation - interest cost,FC009,"Prodution r(RA,RE)",8342001WS,[M]Depreciation - interest cost
CPATWS,AT WS,8342001,[M]Depreciation - interest cost,FC007,Prodution ratio(AT),8342001WS,[M]Depreciation - interest cost
CPBMGA,General affair,8342001,[M]Depreciation - interest cost,FC001,Personnel ratio,8342001OT,[M]Depreciation - interest cost
CPBR07,Wiper laboratory,8342001,[M]Depreciation - interest cost,FC008,Prodution r(WIPER),8342001WS,[M]Depreciation - interest cost
CPBRPK,Wiper Packing,8342001,[M]Depreciation - interest cost,FC008,Prodution r(WIPER),8342001WS,[M]Depreciation - interest cost
CPBRWS,Wiper WS,8342001,[M]Depreciation - interest cost,FC008,Prodution r(WIPER),8342001WS,[M]Depreciation - interest cost
CPFC00,Factory Common,8342001,[M]Depreciation - interest cost,FC001,Personnel ratio,8342001OT,[M]Depreciation - interest cost
CPFC01,Factory1,8342001,[M]Depreciation - interest cost,FC013,Personnel r(WP),8342001OT,[M]Depreciation - interest cost
CPFC02,Factory2,8342001,[M]Depreciation - interest cost,FC014,"Personnel r(RA,RE)",8342001OT,[M]Depreciation - interest cost
CPFC03,Factory3,8342001,[M]Depreciation - interest cost,FC015,Personnel r(MAT),8342001OT,[M]Depreciation - interest cost
CPFC04,Factory4,8342001,[M]Depreciation - interest cost,FC016,"Personnel r(SL,GD)",8342001OT,[M]Depreciation - interest cost
CPFC05,Factory5,8342001,[M]Depreciation - interest cost,FC008,Prodution r(WIPER),8342001OT,[M]Depreciation - interest cost
CPFC06,Factory6,8342001,[M]Depreciation - interest cost,FC017,Prodution r(RAREWP),8342001OT,[M]Depreciation - interest cost
CPFC07,Factory7,8342001,[M]Depreciation - interest cost,FC018,"Personnel r(AT,SYN)",8342001OT,[M]Depreciation - interest cost
CPFCTH,Tent House,8342001,[M]Depreciation - interest cost,FC015,Personnel r(MAT),8342001OT,[M]Depreciation - interest cost
CPKZ00,KAIZEN,8342001,[M]Depreciation - interest cost,FC002,Production ratio,8342001OT,[M]Depreciation - interest cost
CPMG00,Management Cost,8342001,[M]Depreciation - interest cost,FC001,Personnel ratio,8342001OT,[M]Depreciation - interest cost
CPMTBB,BANBURY,8342001,[M]Depreciation - interest cost,FC005,Personnel r(BANBURY),8342001WS,[M]Depreciation - interest cost
CPMTGD,GD Common,8342001,[M]Depreciation - interest cost,FC006,Personnel ratio(GD),8342001WS,[M]Depreciation - interest cost
CPMTWS,Material WS,8342001,[M]Depreciation - interest cost,FC004,Personnel ratio(MAT),8342001WS,[M]Depreciation - interest cost
CPPEMN,Maintenance,8342001,[M]Depreciation - interest cost,FC002,Production ratio,8342001TE,[M]Depreciation - interest cost
CPPEPE,PE,8342001,[M]Depreciation - interest cost,FC002,Production ratio,8342001TE,[M]Depreciation - interest cost
CPPM00,Pro. Management,8342001,[M]Depreciation - interest cost,FC002,Production ratio,8342001OT,[M]Depreciation - interest cost
CPPMAB,Auto Belt Common,8342001,[M]Depreciation - interest cost,FC009,"Prodution r(RA,RE)",8342001WS,[M]Depreciation - interest cost
CPPMLG,Logistics,8342001,[M]Depreciation - interest cost,FC017,Prodution r(RAREWP),8342001OT,[M]Depreciation - interest cost
CPPMMT,Material Common,8342001,[M]Depreciation - interest cost,FC004,Personnel ratio(MAT),8342001WS,[M]Depreciation - interest cost
CPPMPE,PE Common,8342001,[M]Depreciation - interest cost,FC002,Production ratio,8342001TE,[M]Depreciation - interest cost
CPPMPL,Planning,8342001,[M]Depreciation - interest cost,FC002,Production ratio,8342001PL,[M]Depreciation - interest cost
CPQA00,Quality assurance,8342001,[M]Depreciation - interest cost,FC002,Production ratio,8342001OT,[M]Depreciation - interest cost
CPSE00,Safety & Environment,8342001,[M]Depreciation - interest cost,FC001,Personnel ratio,8342001OT,[M]Depreciation - interest cost
CPSLWS,Sunline WS,8342001,[M]Depreciation - interest cost,FC011,Prodution r(SL),8342001WS,[M]Depreciation - interest cost
CPSYWS,Synchro WS,8342001,[M]Depreciation - interest cost,FC012,Prodution r(SYN),8342001WS,[M]Depreciation - interest cost
CPTOLB,Tooling label,8342001,[M]Depreciation - interest cost,FC003,Production ratio(PR),8342001TE,[M]Depreciation - interest cost
CPTOMD,Tooling mold,8342001,[M]Depreciation - interest cost,FC003,Production ratio(PR),8342001TE,[M]Depreciation - interest cost
CPTOWS,Tooling WS,8342001,[M]Depreciation - interest cost,FC003,Production ratio(PR),8342001TE,[M]Depreciation - interest cost
CPWPWS,WP WS,8342001,[M]Depreciation - interest cost,FC010,Prodution r(WP),8342001WS,[M]Depreciation - interest cost
CPABWS,Auto WS,8343001,[M]Depreciation-Buildings(declining-bala,FC009,"Prodution r(RA,RE)",8343001WS,[M]Depreciation-Buildings(declining-bala
CPATWS,AT WS,8343001,[M]Depreciation-Buildings(declining-bala,FC007,Prodution ratio(AT),8343001WS,[M]Depreciation-Buildings(declining-bala
CPBMGA,General affair,8343001,[M]Depreciation-Buildings(declining-bala,FC001,Personnel ratio,8343001OT,[M]Depreciation-Buildings(declining-bala
CPBR07,Wiper laboratory,8343001,[M]Depreciation-Buildings(declining-bala,FC008,Prodution r(WIPER),8343001WS,[M]Depreciation-Buildings(declining-bala
CPBRPK,Wiper Packing,8343001,[M]Depreciation-Buildings(declining-bala,FC008,Prodution r(WIPER),8343001WS,[M]Depreciation-Buildings(declining-bala
CPBRWS,Wiper WS,8343001,[M]Depreciation-Buildings(declining-bala,FC008,Prodution r(WIPER),8343001WS,[M]Depreciation-Buildings(declining-bala
CPFC00,Factory Common,8343001,[M]Depreciation-Buildings(declining-bala,FC001,Personnel ratio,8343001OT,[M]Depreciation-Buildings(declining-bala
CPFC01,Factory1,8343001,[M]Depreciation-Buildings(declining-bala,FC013,Personnel r(WP),8343001OT,[M]Depreciation-Buildings(declining-bala
CPFC02,Factory2,8343001,[M]Depreciation-Buildings(declining-bala,FC014,"Personnel r(RA,RE)",8343001OT,[M]Depreciation-Buildings(declining-bala
CPFC03,Factory3,8343001,[M]Depreciation-Buildings(declining-bala,FC015,Personnel r(MAT),8343001OT,[M]Depreciation-Buildings(declining-bala
CPFC04,Factory4,8343001,[M]Depreciation-Buildings(declining-bala,FC016,"Personnel r(SL,GD)",8343001OT,[M]Depreciation-Buildings(declining-bala
CPFC05,Factory5,8343001,[M]Depreciation-Buildings(declining-bala,FC008,Prodution r(WIPER),8343001OT,[M]Depreciation-Buildings(declining-bala
CPFC06,Factory6,8343001,[M]Depreciation-Buildings(declining-bala,FC017,Prodution r(RAREWP),8343001OT,[M]Depreciation-Buildings(declining-bala
CPFC07,Factory7,8343001,[M]Depreciation-Buildings(declining-bala,FC018,"Personnel r(AT,SYN)",8343001OT,[M]Depreciation-Buildings(declining-bala
CPFCTH,Tent House,8343001,[M]Depreciation-Buildings(declining-bala,FC015,Personnel r(MAT),8343001OT,[M]Depreciation-Buildings(declining-bala
CPKZ00,KAIZEN,8343001,[M]Depreciation-Buildings(declining-bala,FC002,Production ratio,8343001OT,[M]Depreciation-Buildings(declining-bala
CPMG00,Management Cost,8343001,[M]Depreciation-Buildings(declining-bala,FC001,Personnel ratio,8343001OT,[M]Depreciation-Buildings(declining-bala
CPMTBB,BANBURY,8343001,[M]Depreciation-Buildings(declining-bala,FC005,Personnel r(BANBURY),8343001WS,[M]Depreciation-Buildings(declining-bala
CPMTGD,GD Common,8343001,[M]Depreciation-Buildings(declining-bala,FC006,Personnel ratio(GD),8343001WS,[M]Depreciation-Buildings(declining-bala
CPMTWS,Material WS,8343001,[M]Depreciation-Buildings(declining-bala,FC004,Personnel ratio(MAT),8343001WS,[M]Depreciation-Buildings(declining-bala
CPPEMN,Maintenance,8343001,[M]Depreciation-Buildings(declining-bala,FC002,Production ratio,8343001TE,[M]Depreciation-Buildings(declining-bala
CPPEPE,PE,8343001,[M]Depreciation-Buildings(declining-bala,FC002,Production ratio,8343001TE,[M]Depreciation-Buildings(declining-bala
CPPM00,Pro. Management,8343001,[M]Depreciation-Buildings(declining-bala,FC002,Production ratio,8343001OT,[M]Depreciation-Buildings(declining-bala
CPPMAB,Auto Belt Common,8343001,[M]Depreciation-Buildings(declining-bala,FC009,"Prodution r(RA,RE)",8343001WS,[M]Depreciation-Buildings(declining-bala
CPPMLG,Logistics,8343001,[M]Depreciation-Buildings(declining-bala,FC017,Prodution r(RAREWP),8343001OT,[M]Depreciation-Buildings(declining-bala
CPPMMT,Material Common,8343001,[M]Depreciation-Buildings(declining-bala,FC004,Personnel ratio(MAT),8343001WS,[M]Depreciation-Buildings(declining-bala
